X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
7.975440	6.330341	4.029140	0.006628	1314537	1317955	833	835	-5.390513	34.323799	90.785904	92.135872
7.980966	6.323059	4.013434	0.000664	1314537	1318369	833	835	-5.390513	34.323799	90.785904	92.153671
7.986494	6.315773	3.997726	0.007958	1314537	1318371	833	835	-5.390513	34.323799	90.785904	92.171478
8.520009	5.198808	0.536721	0.008409	1314537	1318262	833	835	-5.390513	34.323799	90.785904	95.847183
8.519573	5.189933	0.493561	0.008226	1314537	1318268	833	835	-5.390513	34.323799	90.785904	95.890457
8.528029	5.173965	0.446860	0.005269	1314537	1318711	833	835	-5.390513	34.323799	90.785904	95.940514
8.570411	5.093935	0.212800	0.009552	1314537	1318284	833	835	-5.390513	34.323799	90.785904	96.191368
8.063785	6.508516	3.677195	0.000182	1314570	1317985	833	835	-5.390513	34.323799	90.785904	92.426376
8.193422	6.808547	2.719021	0.005521	1314573	1318041	833	835	-5.390513	34.323799	90.785904	93.259789
8.561527	6.060316	0.319710	0.001033	1314573	1318277	833	835	-5.390513	34.323799	90.785904	95.799873
8.572804	6.036618	0.242391	0.000485	1314573	1318594	833	835	-5.390513	34.323799	90.785904	95.881523
8.578641	6.029054	0.225496	0.007092	1314573	1318596	833	835	-5.390513	34.323799	90.785904	95.900558
8.047506	6.282507	3.929423	0.003231	1314581	1317951	833	835	-5.390513	34.323799	90.785904	92.254768
8.609162	5.115539	0.322912	0.005258	1314581	1318271	833	835	-5.390513	34.323799	90.785904	96.086761
8.611866	5.107224	0.292856	0.000686	1314581	1318274	833	835	-5.390513	34.323799	90.785904	96.117981
8.614570	5.098905	0.262786	0.003887	1314581	1318276	833	835	-5.390513	34.323799	90.785904	96.149216
8.463917	5.842371	1.137372	0.003048	1314583	1318578	833	835	-5.390513	34.323799	90.785904	95.078896
8.480772	5.811131	1.044707	0.002896	1314583	1318207	833	835	-5.390513	34.323799	90.785904	95.178085
