Color, 87, 44, 179, Center, 772.461548, 1153.735474, Size, 417.494781, 497.373291, Angle, 58.742146
Color, 87, 44, 179, Center, 802.513184, 1172.998047, Size, 357.256439, 480.112091, Angle, 212.124512
Color, 87, 44, 179, Center, 820.007874, 1175.331421, Size, 313.062744, 399.334229, Angle, 159.216019
Color, 87, 44, 179, Center, 758.324341, 1162.628540, Size, 382.557617, 457.560120, Angle, 100.125237
Color, 87, 44, 179, Center, 760.362976, 1121.818237, Size, 323.717346, 485.239716, Angle, 58.479305
Color, 87, 44, 179, Center, 776.539856, 1156.633179, Size, 415.954163, 510.668549, Angle, 76.306061
Color, 175, 85, 127, Center, 915.174683, 913.939575, Size, 121.263603, 257.484772, Angle, 217.383606
Color, 175, 85, 127, Center, 916.093140, 913.235596, Size, 118.740776, 260.314026, Angle, 217.445175
Color, 175, 85, 127, Center, 908.250732, 884.158325, Size, 172.948517, 255.538345, Angle, 209.205627
Color, 175, 85, 127, Center, 921.865845, 902.562927, Size, 119.805496, 252.558899, Angle, 217.122803
Color, 175, 85, 127, Center, 916.443604, 913.418640, Size, 116.954346, 266.477386, Angle, 218.166656
Color, 175, 85, 127, Center, 914.288940, 915.140198, Size, 122.428833, 260.295166, Angle, 216.805145
Color, 244, 234, 156, Center, 960.949219, 951.772339, Size, 97.780907, 412.887695, Angle, 183.536133
Color, 244, 234, 156, Center, 962.560059, 943.819641, Size, 101.620674, 405.801453, Angle, 180.089508
Color, 244, 234, 156, Center, 962.914063, 985.485962, Size, 90.476097, 420.036835, Angle, 187.949448
Color, 244, 234, 156, Center, 954.486755, 937.390503, Size, 104.307259, 407.499542, Angle, 187.009186
Color, 244, 234, 156, Center, 958.253174, 944.516052, Size, 94.871178, 381.129730, Angle, 183.635971
Color, 244, 234, 156, Center, 959.477966, 958.142395, Size, 95.456451, 392.917633, Angle, 184.957718
Color, 152, 184, 162, Center, 305.770599, 905.037415, Size, 148.157471, 324.631531, Angle, 160.153397
Color, 152, 184, 162, Center, 310.182404, 923.146484, Size, 157.610840, 325.694733, Angle, 158.064499
Color, 152, 184, 162, Center, 304.860748, 923.940063, Size, 153.682129, 461.294922, Angle, 163.688339
Color, 152, 184, 162, Center, 309.348541, 920.794556, Size, 159.824402, 288.773163, Angle, 165.186539
Color, 152, 184, 162, Center, 315.566650, 900.799561, Size, 119.361023, 371.633820, Angle, 158.454025
Color, 152, 184, 162, Center, 308.963776, 911.273010, Size, 149.049973, 323.242584, Angle, 158.946320
Color, 77, 70, 189, Center, 181.714996, 802.414917, Size, 92.911079, 212.225601, Angle, 180.278519
Color, 77, 70, 189, Center, 183.279373, 801.753113, Size, 89.522667, 210.605850, Angle, 180.000000
Color, 77, 70, 189, Center, 184.036209, 782.804016, Size, 90.566452, 224.674881, Angle, 178.778885
Color, 77, 70, 189, Center, 185.388199, 810.345459, Size, 86.988083, 197.276352, Angle, 180.000000
Color, 77, 70, 189, Center, 177.306580, 802.832092, Size, 102.752464, 205.919708, Angle, 179.403625
Color, 77, 70, 189, Center, 181.496094, 803.995361, Size, 92.603088, 208.909576, Angle, 180.865173
Color, 235, 237, 233, Center, 620.468689, 759.491882, Size, 224.289932, 241.676163, Angle, 111.940727
Color, 235, 237, 233, Center, 621.351563, 759.286743, Size, 214.574493, 254.759705, Angle, 81.460030
Color, 235, 237, 233, Center, 625.675415, 760.543274, Size, 227.709167, 253.933975, Angle, 172.581970
Color, 235, 237, 233, Center, 627.141907, 767.954712, Size, 214.570923, 241.617249, Angle, 111.340355
Color, 235, 237, 233, Center, 626.345093, 767.312988, Size, 215.016998, 248.270233, Angle, 99.772095
Color, 235, 237, 233, Center, 623.975647, 759.277893, Size, 208.724930, 243.705887, Angle, 132.018723
Color, 88, 98, 227, Center, 1062.981323, 792.080139, Size, 103.403343, 434.060120, Angle, 181.125305
Color, 88, 98, 227, Center, 1062.545166, 800.906189, Size, 103.618752, 426.175873, Angle, 180.470459
Color, 88, 98, 227, Center, 1071.268555, 843.620056, Size, 98.599052, 346.516968, Angle, 181.141220
Color, 88, 98, 227, Center, 1062.129639, 820.196838, Size, 105.680344, 390.525543, Angle, 179.062073
Color, 88, 98, 227, Center, 1062.314331, 808.477417, Size, 103.241859, 405.820190, Angle, 180.511353
Color, 88, 98, 227, Center, 1070.662842, 835.409363, Size, 92.932816, 372.149261, Angle, 183.099808
Color, 25, 126, 99, Center, 625.570740, 739.774719, Size, 532.240601, 538.199158, Angle, 209.136032
Color, 25, 126, 99, Center, 623.999878, 738.067627, Size, 535.912109, 539.004089, Angle, 165.233688
Color, 25, 126, 99, Center, 630.782837, 746.602844, Size, 515.757507, 532.368164, Angle, 47.552895
Color, 25, 126, 99, Center, 625.482056, 739.694153, Size, 530.549377, 538.039063, Angle, 201.886719
Color, 25, 126, 99, Center, 626.912292, 741.170105, Size, 528.447937, 536.223511, Angle, 216.601608
Color, 25, 126, 99, Center, 623.871033, 738.050354, Size, 535.259949, 539.584351, Angle, 180.663147
Color, 146, 200, 23, Center, 861.435486, 651.331970, Size, 272.191589, 387.667267, Angle, 130.446655
Color, 146, 200, 23, Center, 856.767944, 662.111572, Size, 306.579407, 381.412231, Angle, 126.056610
Color, 146, 200, 23, Center, 902.273560, 643.003235, Size, 242.265762, 425.922119, Angle, 119.038589
Color, 146, 200, 23, Center, 865.076538, 640.810242, Size, 266.889099, 432.144745, Angle, 116.885651
Color, 146, 200, 23, Center, 892.124146, 635.913025, Size, 222.224258, 378.417725, Angle, 124.581024
Color, 146, 200, 23, Center, 842.301880, 660.044739, Size, 322.577942, 410.323059, Angle, 116.015366
Color, 121, 100, 3, Center, 626.132935, 740.809265, Size, 575.957947, 580.521973, Angle, 192.588058
Color, 121, 100, 3, Center, 625.706238, 740.921997, Size, 575.512512, 579.847290, Angle, 157.376755
Color, 121, 100, 3, Center, 626.043152, 740.342285, Size, 576.850769, 581.820862, Angle, 204.742264
Color, 121, 100, 3, Center, 626.905151, 741.801697, Size, 576.490173, 580.016846, Angle, 203.213272
Color, 121, 100, 3, Center, 621.975769, 736.466248, Size, 576.477356, 590.465515, Angle, 149.428986
Color, 121, 100, 3, Center, 625.083435, 741.479553, Size, 576.947327, 578.461853, Angle, 182.028046
Color, 110, 61, 200, Center, 372.153290, 573.462158, Size, 95.948929, 345.527039, Angle, 195.735031
Color, 110, 61, 200, Center, 369.359680, 565.916382, Size, 89.032532, 341.495697, Angle, 198.696609
Color, 110, 61, 200, Center, 380.288788, 495.647980, Size, 80.701279, 476.920135, Angle, 197.134140
Color, 110, 61, 200, Center, 379.174133, 637.144531, Size, 44.068451, 349.498047, Angle, 204.005219
Color, 110, 61, 200, Center, 371.846283, 595.986511, Size, 75.674194, 322.568817, Angle, 198.989807
Color, 110, 61, 200, Center, 369.413513, 582.498901, Size, 96.609604, 317.187317, Angle, 195.356918
Color, 175, 228, 21, Center, 832.469177, 466.643341, Size, 79.464951, 179.421326, Angle, 123.107018
Color, 175, 228, 21, Center, 811.244812, 457.125244, Size, 80.434151, 229.036545, Angle, 117.163361
Color, 175, 228, 21, Center, 786.580017, 450.239349, Size, 79.336601, 296.944000, Angle, 112.899879
Color, 175, 228, 21, Center, 820.166016, 462.321991, Size, 78.460732, 211.531891, Angle, 118.806320
Color, 175, 228, 21, Center, 835.409058, 469.728638, Size, 79.960793, 176.850922, Angle, 122.196136
Color, 175, 228, 21, Center, 810.333252, 456.628387, Size, 79.987862, 228.220352, Angle, 117.409943
Color, 7, 116, 95, Center, 913.758362, 430.182098, Size, 105.653160, 213.512543, Angle, 114.089600
Color, 7, 116, 95, Center, 897.017944, 410.752563, Size, 113.639000, 247.083588, Angle, 128.155411
Color, 7, 116, 95, Center, 907.290100, 437.019379, Size, 95.181007, 207.954224, Angle, 116.009880
Color, 7, 116, 95, Center, 900.103821, 415.493927, Size, 107.105873, 247.233917, Angle, 127.104881
Color, 7, 116, 95, Center, 899.548157, 412.916473, Size, 110.414871, 249.467499, Angle, 128.821030
Color, 7, 116, 95, Center, 895.536621, 408.148499, Size, 116.495613, 253.336044, Angle, 127.927216
Color, 152, 219, 96, Center, 559.736084, 505.339752, Size, 199.420624, 401.198486, Angle, 234.887039
Color, 152, 219, 96, Center, 562.849670, 501.731689, Size, 215.423904, 405.497467, Angle, 237.422058
Color, 152, 219, 96, Center, 625.284302, 413.649658, Size, 141.441803, 597.824158, Angle, 231.667618
Color, 152, 219, 96, Center, 572.540833, 526.545105, Size, 168.126984, 481.835938, Angle, 235.671844
Color, 152, 219, 96, Center, 546.856323, 482.629120, Size, 175.460495, 389.003326, Angle, 238.284836
