X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
9.033129	5.608905	4.004025	0.006065	1317730	1314813	835	833	-37.402802	-20.791430	82.251823	94.741707
11.327770	6.917370	0.130755	0.001651	1317730	1315280	835	833	-37.402802	-20.791430	82.251823	99.429955
9.280413	5.492515	3.544909	0.009397	1317739	1314861	835	833	-37.402802	-20.791430	82.251823	95.210014
8.936502	5.642004	4.107296	0.000847	1317741	1314789	835	833	-37.402802	-20.791430	82.251823	94.618309
9.061625	5.712573	3.897669	0.000810	1317741	1314818	835	833	-37.402802	-20.791430	82.251823	94.872437
9.103503	5.740471	3.820209	0.007446	1317741	1314828	835	833	-37.402802	-20.791430	82.251823	94.964714
9.155860	5.768933	3.734311	0.004556	1317741	1314843	835	833	-37.402802	-20.791430	82.251823	95.069244
11.251657	6.958825	0.209636	0.006975	1317741	1315248	835	833	-37.402802	-20.791430	82.251823	99.339081
9.067123	5.547170	3.827604	0.004873	1317757	1314813	835	833	-37.402802	-20.791430	82.251823	94.886955
9.738836	5.143290	2.699358	0.008883	1317759	1314907	835	833	-37.402802	-20.791430	82.251823	96.039253
10.139350	5.369037	2.014074	0.002379	1317759	1314969	835	833	-37.402802	-20.791430	82.251823	96.864456
10.169747	5.216113	1.937662	0.002628	1317766	1315439	835	833	-37.402802	-20.791430	82.251823	96.901520
10.323027	5.301282	1.676491	0.000250	1317766	1315009	835	833	-37.402802	-20.791430	82.251823	97.216095
10.821013	5.574273	0.834465	0.001791	1317766	1315079	835	833	-37.402802	-20.791430	82.251823	98.231728
8.884162	5.686413	4.064445	0.004821	1317773	1314773	835	833	-37.402802	-20.791430	82.251823	94.640503
9.124327	5.827572	3.652323	0.002915	1317773	1314829	835	833	-37.402802	-20.791430	82.251823	95.137932
9.140035	5.834845	3.628709	0.000606	1317773	1315457	835	833	-37.402802	-20.791430	82.251823	95.167160
9.145327	5.841595	3.613424	0.007045	1317773	1315463	835	833	-37.402802	-20.791430	82.251823	95.184265
11.152950	6.989217	0.223555	0.005166	1317773	1315190	835	833	-37.402802	-20.791430	82.251823	99.287773
9.647995	5.268022	2.736124	0.000309	1317778	1314895	835	833	-37.402802	-20.791430	82.251823	95.998016
10.226889	5.043909	1.724316	0.001289	1317788	1314980	835	833	-37.402802	-20.791430	82.251823	97.060455
10.474561	5.178648	1.304879	0.002134	1317788	1315023	835	833	-37.402802	-20.791430	82.251823	97.565849
10.718595	5.307667	0.898172	0.004933	1317788	1315560	835	833	-37.402802	-20.791430	82.251823	98.057373
10.724311	5.314518	0.881925	0.002985	1317788	1315050	835	833	-37.402802	-20.791430	82.251823	98.075478
10.947833	5.430342	0.513530	0.008450	1317788	1315099	835	833	-37.402802	-20.791430	82.251823	98.521645
10.129954	5.202854	1.858503	0.005215	1317790	1315442	835	833	-37.402802	-20.791430	82.251823	96.944061
10.195334	5.231827	1.759780	0.009036	1317790	1315465	835	833	-37.402802	-20.791430	82.251823	97.065758
