191	943	100	3.40282e+038	-182	-90	167.667	147.75	-53.8571	-55.8	6.7191	-8.51515	-2.0023	1.41458	-1.125	-1.01243	-0.908886	0.601099	-0.85199	
192	761	0	-182	3.40282e+038	-44	342.5	257.667	-44	-46.7857	8.86364	-6.7449	-1.58756	1.83333	-0.896334	-0.807692	-0.704955	0.80198	-0.626401	
194	673	100	-90	-44	3.40282e+038	3.40282e+038	861	-44	-47.25	10.093	-5.96875	-1.3912	2.04358	-0.787072	-0.709751	-0.607223	0.900772	-0.518102	
194	1446	100	167.667	342.5	3.40282e+038	3.40282e+038	88	-114.273	-111.667	1.10465	-14.0208	-3.18056	0.270642	-1.76679	-1.58617	-1.47968	0.0485116	-1.48315	
195	1534	0	147.75	257.667	861	88	3.40282e+038	-134.5	-129.818	0.0823529	-15.0947	-3.39211	0.0689655	-1.88071	-1.68785	-1.58079	-0.0485651	-1.595	
205	189	0	-53.8571	-44	-44	-114.273	-134.5	3.40282e+038	-83	18.0267	-1.04706	-0.27791	3.23529	-0.176093	-0.163031	-0.0617143	1.45201	0.0873418	
206	106	100	-55.8	-46.7857	-47.25	-111.667	-129.818	-83	3.40282e+038	19.3919	-0.0714286	-0.0809524	3.43868	-0.0694981	-0.0678161	0.0331808	1.54637	0.192649	
280	1541	100	6.7191	8.86364	10.093	1.10465	0.0823529	18.0267	19.3919	3.40282e+038	-144.1	-4.24566	0.0657143	-2.11807	-1.87688	-1.7575	-0.0621194	-1.79441	
290	100	0	-8.51515	-6.7449	-5.96875	-14.0208	-15.0947	-1.04706	-0.0714286	-144.1	3.40282e+038	-0.0833333	4.30588	-0.0692641	-0.06743	0.0443038	1.71393	0.224113	
626	72	0	-2.0023	-1.58756	-1.3912	-3.18056	-3.39211	-0.27791	-0.0809524	-4.24566	-0.0833333	3.40282e+038	373	-0.0560224	-0.0555556	0.138767	2.98526	0.504065	
630	1564	100	1.41458	1.83333	2.04358	0.270642	0.0689655	3.23529	3.43868	0.0657143	4.30588	373	3.40282e+038	-4.28329	-3.40135	-3.17556	-0.157113	-3.57808	
983	52	100	-1.125	-0.896334	-0.787072	-1.76679	-1.88071	-0.176093	-0.0694981	-2.11807	-0.0692641	-0.0560224	-4.28329	3.40282e+038	-0.0537634	0.85567	12.1864	17.1667	
1076	47	0	-1.01243	-0.807692	-0.709751	-1.58617	-1.68785	-0.163031	-0.0678161	-1.87688	-0.06743	-0.0555556	-3.40135	-0.0537634	3.40282e+038	22	57.72	-2.60494	
1080	135	0	-0.908886	-0.704955	-0.607223	-1.47968	-1.58079	-0.0617143	0.0331808	-1.7575	0.0443038	0.138767	-3.17556	0.85567	22	3.40282e+038	64.5238	-1.44706	
1101	1490	0	0.601099	0.80198	0.900772	0.0485116	-0.0485651	1.45201	1.54637	-0.0621194	1.71393	2.98526	-0.157113	12.1864	57.72	64.5238	3.40282e+038	11.6226	
995	258	0	-0.85199	-0.626401	-0.518102	-1.48315	-1.595	0.0873418	0.192649	-1.79441	0.224113	0.504065	-3.57808	17.1667	-2.60494	-1.44706	11.6226	3.40282e+038	
