Type: (null), X: 1240, Y: 993
Type: (null), X: 1258, Y: 1108
Type: (null), X: 1307, Y: 1045
Type: (null), X: 1578, Y: 157
Type: (null), X: 1579, Y: 1037
Type: (null), X: 1586, Y: 355
Type: (null), X: 1599, Y: 165
Type: (null), X: 1598, Y: 699
Type: (null), X: 0, Y: 607
Type: (null), X: 916, Y: 1176
Type: (null), X: 277, Y: 1134
Type: (null), X: 378, Y: 1138
Type: (null), X: 422, Y: 1018
Type: (null), X: 447, Y: 452
Type: (null), X: 880, Y: 43
Type: (null), X: 583, Y: 850
Type: (null), X: 899, Y: 187
Type: (null), X: 913, Y: 1025
Type: (null), X: 1108, Y: 791
Type: (null), X: 1149, Y: 431
Type: (null), X: 1171, Y: 563
Type: (null), X: 1254, Y: 561
Type: (null), X: 1295, Y: 996
Type: (null), X: 1316, Y: 1143
Type: (null), X: 1467, Y: 358
Type: (null), X: 345, Y: 545
Type: (null), X: 369, Y: 439
Type: (null), X: 783, Y: 554
Type: (null), X: 1213, Y: 1146
Type: (null), X: 1217, Y: 382
Type: (null), X: 1234, Y: 466
Type: (null), X: 1374, Y: 796
Type: (null), X: 1515, Y: 438
Type: (null), X: 566, Y: 980
Type: (null), X: 522, Y: 904
Type: (null), X: 857, Y: 390
Type: (null), X: 1142, Y: 386
Type: (null), X: 1156, Y: 469
Type: (null), X: 1558, Y: 222
