X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
12.741984	6.776435	0.463924	0.012270	4937532	4945004	7577	7582	-7.315013	6.381342	22.392094	29.720091
9.630318	6.742215	3.846356	0.014062	4937534	4944853	7577	7582	-7.315013	6.381342	22.392094	25.124069
9.631530	6.753121	3.838778	0.009146	4937534	4944857	7577	7582	-7.315013	6.381342	22.392094	25.130640
9.639900	6.735669	3.839775	0.028484	4937534	4944851	7577	7582	-7.315013	6.381342	22.392094	25.135298
9.632730	6.764045	3.831253	0.032369	4937534	4944861	7577	7582	-7.315013	6.381342	22.392094	25.137169
10.494969	6.792470	2.898545	0.049990	4937534	4941326	7577	7579	-7.315013	6.381342	22.392094	26.407631
12.370958	6.825275	0.844155	0.034184	4937534	4941299	7577	7579	-7.315013	6.381342	22.392094	29.189865
12.371144	6.817689	0.843191	0.018954	4937534	4941297	7577	7579	-7.315013	6.381342	22.392094	29.190588
12.382017	6.810864	0.830594	0.004789	4937534	4940821	7577	7579	-7.315013	6.381342	22.392094	29.207117
12.392899	6.804035	0.817999	0.009385	4937534	4940825	7577	7579	-7.315013	6.381342	22.392094	29.223656
12.403791	6.797201	0.805402	0.023568	4937534	4940827	7577	7579	-7.315013	6.381342	22.392094	29.240202
12.414695	6.790361	0.792805	0.037761	4937534	4940829	7577	7579	-7.315013	6.381342	22.392094	29.256760
12.714705	6.820795	0.463254	0.010883	4937534	4945012	7577	7582	-7.315013	6.381342	22.392094	29.702806
12.717314	6.833548	0.453173	0.037933	4937534	4945016	7577	7582	-7.315013	6.381342	22.392094	29.712200
12.727100	6.813190	0.454202	0.005909	4937534	4945010	7577	7582	-7.315013	6.381342	22.392094	29.717737
12.736802	6.792872	0.455488	0.049751	4937534	4945004	7577	7582	-7.315013	6.381342	22.392094	29.723043
9.618671	6.713454	3.867220	0.044230	4937535	4944843	7577	7582	-7.315013	6.381342	22.392094	25.100416
9.631287	6.734110	3.841589	0.000670	4937535	4944853	7577	7582	-7.315013	6.381342	22.392094	25.128126
9.632490	6.745021	3.834037	0.022549	4937535	4944857	7577	7582	-7.315013	6.381342	22.392094	25.134668
9.640879	6.727554	3.834985	0.015090	4937535	4944851	7577	7582	-7.315013	6.381342	22.392094	25.139380
9.633682	6.755952	3.826538	0.045783	4937535	4944861	7577	7582	-7.315013	6.381342	22.392094	25.141171
12.371394	6.809286	0.843630	0.035653	4937535	4941297	7577	7579	-7.315013	6.381342	22.392094	29.190308
12.382267	6.802458	0.831025	0.021499	4937535	4940821	7577	7579	-7.315013	6.381342	22.392094	29.206846
12.393149	6.795624	0.818421	0.007335	4937535	4940825	7577	7579	-7.315013	6.381342	22.392094	29.223392
12.404042	6.788786	0.805817	0.006839	4937535	4940827	7577	7579	-7.315013	6.381342	22.392094	29.239946
12.414946	6.781942	0.793211	0.021022	4937535	4940829	7577	7579	-7.315013	6.381342	22.392094	29.256512
12.425859	6.775093	0.780606	0.035214	4937535	4940831	7577	7579	-7.315013	6.381342	22.392094	29.273085
12.436783	6.768239	0.768001	0.049416	4937535	4940833	7577	7579	-7.315013	6.381342	22.392094	29.289665
12.717017	6.811248	0.456366	0.026726	4937535	4945012	7577	7582	-7.315013	6.381342	22.392094	29.709311
12.729430	6.803632	0.447276	0.009935	4937535	4945010	7577	7582	-7.315013	6.381342	22.392094	29.724285
12.739168	6.783293	0.448479	0.033921	4937535	4945004	7577	7582	-7.315013	6.381342	22.392094	29.729681
9.626452	6.747993	3.834900	0.032366	4937536	4944853	7577	7582	-7.315013	6.381342	22.392094	25.130005
9.627676	6.758899	3.827275	0.009152	4937536	4944857	7577	7582	-7.315013	6.381342	22.392094	25.136621
9.636029	6.741450	3.828336	0.046803	4937536	4944851	7577	7582	-7.315013	6.381342	22.392094	25.141214
9.628889	6.769824	3.819702	0.014077	4937536	4944861	7577	7582	-7.315013	6.381342	22.392094	25.143198
9.630091	6.780766	3.812183	0.037323	4937536	4944867	7577	7582	-7.315013	6.381342	22.392094	25.149734
10.485343	6.800497	2.886697	0.036069	4937536	4941326	7577	7579	-7.315013	6.381342	22.392094	26.410013
12.361206	6.849345	0.831637	0.049256	4937536	4941303	7577	7579	-7.315013	6.381342	22.392094	29.192909
12.361567	6.834169	0.829697	0.018785	4937536	4941299	7577	7579	-7.315013	6.381342	22.392094	29.194345
12.361753	6.826578	0.828741	0.003545	4937536	4941297	7577	7579	-7.315013	6.381342	22.392094	29.195061
12.372066	6.842533	0.819011	0.035093	4937536	4940822	7577	7579	-7.315013	6.381342	22.392094	29.209446
12.372627	6.819753	0.816136	0.010638	4937536	4940821	7577	7579	-7.315013	6.381342	22.392094	29.211596
12.383511	6.812924	0.803532	0.024830	4937536	4940825	7577	7579	-7.315013	6.381342	22.392094	29.228138
12.394404	6.806089	0.790927	0.039032	4937536	4940827	7577	7579	-7.315013	6.381342	22.392094	29.244690
12.689704	6.855629	0.455857	0.049891	4937536	4945020	7577	7582	-7.315013	6.381342	22.392094	29.691954
12.702120	6.848023	0.446705	0.033110	4937536	4945018	7577	7582	-7.315013	6.381342	22.392094	29.706961
12.711897	6.827663	0.447744	0.010745	4937536	4945012	7577	7582	-7.315013	6.381342	22.392094	29.712469
12.714534	6.840416	0.437584	0.016314	4937536	4945016	7577	7582	-7.315013	6.381342	22.392094	29.721945
12.724281	6.820064	0.438722	0.027557	4937536	4945010	7577	7582	-7.315013	6.381342	22.392094	29.727367
9.615773	6.711106	3.851024	0.049161	4937537	4944843	7577	7582	-7.315013	6.381342	22.392094	25.110386
9.628403	6.731772	3.825334	0.005572	4937537	4944853	7577	7582	-7.315013	6.381342	22.392094	25.138153
9.629609	6.742690	3.817760	0.017665	4937537	4944857	7577	7582	-7.315013	6.381342	22.392094	25.144714
9.637998	6.725211	3.818724	0.020005	4937537	4944851	7577	7582	-7.315013	6.381342	22.392094	25.149412
9.630804	6.753627	3.810240	0.040916	4937537	4944861	7577	7582	-7.315013	6.381342	22.392094	25.151234
12.362259	6.809766	0.829614	0.036954	4937537	4941297	7577	7579	-7.315013	6.381342	22.392094	29.194506
12.373134	6.802934	0.816992	0.022791	4937537	4940821	7577	7579	-7.315013	6.381342	22.392094	29.211058
12.384017	6.796097	0.804372	0.008619	4937537	4940825	7577	7579	-7.315013	6.381342	22.392094	29.227615
12.394912	6.789254	0.791751	0.005562	4937537	4940827	7577	7579	-7.315013	6.381342	22.392094	29.244184
12.405817	6.782406	0.779129	0.019754	4937537	4940829	7577	7579	-7.315013	6.381342	22.392094	29.260763
12.416733	6.775554	0.766507	0.033954	4937537	4940831	7577	7579	-7.315013	6.381342	22.392094	29.277349
12.427658	6.768696	0.753885	0.048165	4937537	4940833	7577	7579	-7.315013	6.381342	22.392094	29.293943
12.716543	6.808555	0.433911	0.020956	4937537	4945012	7577	7582	-7.315013	6.381342	22.392094	29.725536
12.719144	6.821325	0.423839	0.048045	4937537	4945016	7577	7582	-7.315013	6.381342	22.392094	29.734915
12.728965	6.800931	0.424812	0.004147	4937537	4945010	7577	7582	-7.315013	6.381342	22.392094	29.740520
12.738699	6.780577	0.426043	0.039752	4937537	4945004	7577	7582	-7.315013	6.381342	22.392094	29.745893
9.620120	6.632494	3.832805	0.001974	4937538	4944833	7577	7582	-7.315013	6.381342	22.392094	25.125864
9.621305	6.643377	3.825216	0.021264	4937538	4944837	7577	7582	-7.315013	6.381342	22.392094	25.132380
9.629729	6.625898	3.826203	0.016402	4937538	4944831	7577	7582	-7.315013	6.381342	22.392094	25.137152
9.622478	6.654278	3.817680	0.044519	4937538	4944843	7577	7582	-7.315013	6.381342	22.392094	25.138853
9.639340	6.619301	3.819618	0.030839	4937538	4944829	7577	7582	-7.315013	6.381342	22.392094	25.148430
12.383372	6.652991	0.816548	0.046175	4937538	4944962	7577	7582	-7.315013	6.381342	22.392094	29.216507
12.385872	6.665460	0.806501	0.019533	4937538	4944970	7577	7582	-7.315013	6.381342	22.392094	29.225731
12.388343	6.677954	0.796539	0.007131	4937538	4944978	7577	7582	-7.315013	6.381342	22.392094	29.234880
12.404143	6.689171	0.772884	0.030610	4937538	4945272	7577	7582	-7.315013	6.381342	22.392094	29.263119
12.416287	6.681602	0.764042	0.014042	4937538	4944982	7577	7582	-7.315013	6.381342	22.392094	29.277756
12.429713	6.694479	0.754928	0.038585	4937538	4941281	7577	7579	-7.315013	6.381342	22.392094	29.293673
12.429941	6.686862	0.753957	0.023304	4937538	4941279	7577	7579	-7.315013	6.381342	22.392094	29.294462
12.430174	6.679244	0.752994	0.008020	4937538	4941277	7577	7579	-7.315013	6.381342	22.392094	29.295252
12.430904	6.686565	0.745285	0.024188	4937538	4945264	7577	7582	-7.315013	6.381342	22.392094	29.301514
12.441130	6.672337	0.740343	0.006156	4937538	4940837	7577	7579	-7.315013	6.381342	22.392094	29.311911
12.443069	6.678987	0.736436	0.007598	4937538	4944981	7577	7582	-7.315013	6.381342	22.392094	29.316172
12.455231	6.671409	0.727616	0.009006	4937538	4944977	7577	7582	-7.315013	6.381342	22.392094	29.330807
12.772011	6.659872	0.389978	0.043825	4937538	4944988	7577	7582	-7.315013	6.381342	22.392094	29.793610
12.764894	6.692991	0.378415	0.027297	4937538	4944998	7577	7582	-7.315013	6.381342	22.392094	29.797682
12.787171	6.664885	0.370543	0.033563	4937538	4944990	7577	7582	-7.315013	6.381342	22.392094	29.818232
9.621069	6.624362	3.828043	0.011399	4937539	4944833	7577	7582	-7.315013	6.381342	22.392094	25.129940
9.622244	6.635252	3.820480	0.034649	4937539	4944837	7577	7582	-7.315013	6.381342	22.392094	25.136427
9.630687	6.617757	3.821419	0.003027	4937539	4944831	7577	7582	-7.315013	6.381342	22.392094	25.141253
9.639099	6.600294	3.822510	0.040702	4937539	4944825	7577	7582	-7.315013	6.381342	22.392094	25.145960
9.640307	6.611152	3.814811	0.017463	4937539	4944829	7577	7582	-7.315013	6.381342	22.392094	25.152557
12.037615	6.629615	1.180698	0.046781	4937539	4940712	7577	7579	-7.315013	6.381342	22.392094	28.714268
12.385552	6.643532	0.809791	0.030640	4937539	4944962	7577	7582	-7.315013	6.381342	22.392094	29.222881
12.388035	6.656010	0.799786	0.003983	4937539	4944970	7577	7582	-7.315013	6.381342	22.392094	29.232059
12.390490	6.668512	0.789865	0.022695	4937539	4944978	7577	7582	-7.315013	6.381342	22.392094	29.241163
