33	1022	100	3.40282e+038	3.40282e+038	3.40282e+038	-87	-65.0833	-8.16667	0.139028	-1.19225	0.0996169	-0.948113	-0.607223	0.0377907	-0.571125	-0.509873	-0.269951	-0.0294925	0.0321477	
33	1112	100	3.40282e+038	3.40282e+038	3.40282e+038	-98.25	-72.5833	-9.10417	-0.0117253	-1.32638	-0.0153257	-1.05425	-0.674944	-0.0276163	-0.63482	-0.573343	-0.332408	-0.0912208	-0.0294118	
33	666	100	3.40282e+038	3.40282e+038	3.40282e+038	-42.5	-35.4167	-4.45833	0.735343	-0.661699	0.554278	-0.528302	-0.339353	0.296512	-0.319179	-0.258815	-0.0229008	0.214678	0.27565	
41	326	100	-87	-98.25	-42.5	3.40282e+038	-21.25	-1	1.32258	-0.156863	0.99871	-0.128571	-0.0840273	0.546784	-0.0790036	-0.0191489	0.214236	0.450345	0.511004	
45	241	0	-65.0833	-72.5833	-35.4167	-21.25	3.40282e+038	-0.0357143	1.47692	-0.0288316	1.11414	-0.027512	-0.0197418	0.610704	-0.0185582	0.0412518	0.274318	0.510373	0.571034	
129	238	100	-8.16667	-9.10417	-4.45833	-1	-0.0357143	3.40282e+038	1.73054	-0.0278261	1.25473	-0.0265957	-0.0186537	0.653125	-0.0174639	0.0461422	0.29368	0.544053	0.608346	
630	1105	0	0.139028	-0.0117253	0.735343	1.32258	1.47692	1.73054	3.40282e+038	-11.9324	-0.0268817	-3.53386	-1.21585	-0.0397946	-1.09069	-0.98173	-0.559242	-0.146341	-0.0416185	
704	222	0	-1.19225	-1.32638	-0.661699	-0.156863	-0.0288316	-0.0278261	-11.9324	3.40282e+038	7.83929	-0.0225989	-0.0106383	1.20851	-0.00943396	0.103079	0.533766	0.961881	1.0708	
816	1100	100	0.0996169	-0.0153257	0.554278	0.99871	1.11414	1.25473	-0.0268817	7.83929	3.40282e+038	-13.5692	-1.62088	-0.0438449	-1.40476	-1.26142	-0.709726	-0.179259	-0.0456554	
881	218	100	-0.948113	-1.05425	-0.528302	-0.128571	-0.027512	-0.0265957	-3.53386	-0.0225989	-13.5692	3.40282e+038	-0.00623701	1.62121	-0.00530973	0.142105	0.699831	1.24754	1.38599	
1362	215	0	-0.607223	-0.674944	-0.339353	-0.0840273	-0.0197418	-0.0186537	-1.21585	-0.0106383	-1.62088	-0.00623701	3.40282e+038	18.2766	-0	0.94382	3.73214	5.92248	6.42105	
1409	1074	0	0.0377907	-0.0276163	0.296512	0.546784	0.610704	0.653125	-0.0397946	1.20851	-0.0438449	1.62121	18.2766	3.40282e+038	-23.2162	-18.4524	-6.78462	-1.15854	-0.0581395	
1446	215	100	-0.571125	-0.63482	-0.319179	-0.0790036	-0.0185582	-0.0174639	-1.09069	-0.00943396	-1.40476	-0.00530973	0	-23.2162	3.40282e+038	16.8	14.9286	16.9778	17.4286	
1451	299	0	-0.509873	-0.573343	-0.258815	-0.0191489	0.0412518	0.0461422	-0.98173	0.103079	-1.26142	0.142105	0.94382	-18.4524	16.8	3.40282e+038	14.5217	17	17.5	
1474	633	0	-0.269951	-0.332408	-0.0229008	0.214236	0.274318	0.29368	-0.559242	0.533766	-0.709726	0.699831	3.73214	-6.78462	14.9286	14.5217	3.40282e+038	20.3529	20.7619	
1491	979	100	-0.0294925	-0.0912208	0.214678	0.450345	0.510373	0.544053	-0.146341	0.961881	-0.179259	1.24754	5.92248	-1.15854	16.9778	17	20.3529	3.40282e+038	22.5	
1495	1069	0	0.0321477	-0.0294118	0.27565	0.511004	0.571034	0.608346	-0.0416185	1.0708	-0.0456554	1.38599	6.42105	-0.0581395	17.4286	17.5	20.7619	22.5	3.40282e+038	
