X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
8.073233	5.202301	4.342058	0.044375	4995875	4993035	7615	7613	12.452450	10.099125	23.453077	20.208599
7.320348	4.300597	1.024555	0.049928	4995875	4993554	7615	7613	12.452450	10.099125	23.453077	23.727621
7.288393	4.295351	0.901093	0.002440	4995875	4994216	7615	7613	12.452450	10.099125	23.453077	23.852531
7.288619	4.288015	0.898041	0.010494	4995875	4994222	7615	7613	12.452450	10.099125	23.453077	23.857155
7.288839	4.280680	0.895006	0.023429	4995875	4994228	7615	7613	12.452450	10.099125	23.453077	23.861763
7.289053	4.273348	0.891986	0.036365	4995875	4993570	7615	7613	12.452450	10.099125	23.453077	23.866362
7.279747	4.312414	0.877865	0.047964	4995875	4993574	7615	7613	12.452450	10.099125	23.453077	23.872225
8.063951	5.203583	4.350966	0.041959	4995876	4993035	7615	7613	12.452450	10.099125	23.453077	20.201878
7.277999	4.297517	0.914087	0.000381	4995876	4994216	7615	7613	12.452450	10.099125	23.453077	23.841974
7.278222	4.290187	0.911043	0.013306	4995876	4994222	7615	7613	12.452450	10.099125	23.453077	23.846586
7.278439	4.282859	0.908016	0.026233	4995876	4994228	7615	7613	12.452450	10.099125	23.453077	23.851187
7.278650	4.275533	0.905004	0.039160	4995876	4993570	7615	7613	12.452450	10.099125	23.453077	23.855776
7.269353	4.314568	0.890873	0.045108	4995876	4993574	7615	7613	12.452450	10.099125	23.453077	23.861656
9.990680	4.675942	2.416475	0.044028	4995877	4994145	7615	7613	12.452450	10.099125	23.453077	21.863438
9.991321	4.668515	2.413031	0.031138	4995877	4994147	7615	7613	12.452450	10.099125	23.453077	21.868521
9.991955	4.661088	2.409603	0.018247	4995877	4994149	7615	7613	12.452450	10.099125	23.453077	21.873594
9.992582	4.653663	2.406189	0.005354	4995877	4994151	7615	7613	12.452450	10.099125	23.453077	21.878654
9.993203	4.646238	2.402789	0.007540	4995877	4994153	7615	7613	12.452450	10.099125	23.453077	21.883703
9.993816	4.638815	2.399403	0.020435	4995877	4994155	7615	7613	12.452450	10.099125	23.453077	21.888742
9.994423	4.631394	2.396032	0.033332	4995877	4994157	7615	7613	12.452450	10.099125	23.453077	21.893770
9.995022	4.623974	2.392674	0.046230	4995877	4994159	7615	7613	12.452450	10.099125	23.453077	21.898785
9.797434	4.196649	0.711867	0.030938	4995877	4993256	7615	7613	12.452450	10.099125	23.453077	23.644258
