X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
10.056616	4.891529	2.364054	0.014082	4993008	4995979	7613	7615	-6.823325	5.427433	19.408272	23.994268
10.069759	4.901611	2.346324	0.007953	4993008	4995985	7613	7615	-6.823325	5.427433	19.408272	24.015888
10.105539	4.908536	2.306800	0.024838	4993008	4995995	7613	7615	-6.823325	5.427433	19.408272	24.068985
10.140507	4.909619	2.270572	0.029408	4993008	4996759	7613	7615	-6.823325	5.427433	19.408272	24.119297
10.174643	4.904826	2.237660	0.021599	4993008	4996729	7613	7615	-6.823325	5.427433	19.408272	24.166794
10.186998	4.909108	2.223224	0.031392	4993008	4996007	7613	7615	-6.823325	5.427433	19.408272	24.185650
10.257607	4.911289	2.150081	0.040607	4993008	4996016	7613	7615	-6.823325	5.427433	19.408272	24.287235
10.265196	4.886086	2.152942	0.011780	4993008	4995994	7613	7615	-6.823325	5.427433	19.408272	24.291088
10.267155	4.897875	2.145938	0.013099	4993008	4996006	7613	7615	-6.823325	5.427433	19.408272	24.297182
10.276686	4.884470	2.141874	0.014416	4993008	4996671	7613	7615	-6.823325	5.427433	19.408272	24.307072
10.289176	4.888750	2.127270	0.004605	4993008	4995999	7613	7615	-6.823325	5.427433	19.408272	24.326136
10.291142	4.900558	2.120267	0.020307	4993008	4996011	7613	7615	-6.823325	5.427433	19.408272	24.332235
10.344862	4.868846	2.078814	0.042761	4993008	4995988	7613	7615	-6.823325	5.427433	19.408272	24.400181
10.357443	4.873123	2.064095	0.032941	4993008	4995992	7613	7615	-6.823325	5.427433	19.408272	24.419388
10.375047	4.907039	2.031716	0.039415	4993008	4996638	7613	7615	-6.823325	5.427433	19.408272	24.454029
10.386662	4.905423	2.020507	0.036790	4993008	4996634	7613	7615	-6.823325	5.427433	19.408272	24.470198
10.398291	4.903805	2.009287	0.034164	4993008	4996630	7613	7615	-6.823325	5.427433	19.408272	24.486382
10.409930	4.902186	1.998057	0.031534	4993008	4996626	7613	7615	-6.823325	5.427433	19.408272	24.502583
10.421582	4.900566	1.986816	0.028901	4993008	4996023	7613	7615	-6.823325	5.427433	19.408272	24.518801
10.432234	4.892996	1.979100	0.013722	4993008	4996019	7613	7615	-6.823325	5.427433	19.408272	24.531937
10.442886	4.885426	1.971403	0.001466	4993008	4996015	7613	7615	-6.823325	5.427433	19.408272	24.545065
10.453540	4.877855	1.963726	0.016666	4993008	4996009	7613	7615	-6.823325	5.427433	19.408272	24.558182
9.253004	4.853173	3.163415	0.042504	4993009	4995889	7613	7615	-6.823325	5.427433	19.408272	22.862055
9.274686	4.855669	3.140133	0.049427	4993009	4997007	7613	7615	-6.823325	5.427433	19.408272	22.893782
9.295673	4.852536	3.119926	0.044479	4993009	4997001	7613	7615	-6.823325	5.427433	19.408272	22.922976
9.306182	4.850967	3.109808	0.042002	4993009	4996999	7613	7615	-6.823325	5.427433	19.408272	22.937593
9.316701	4.849398	3.099682	0.039521	4993009	4995897	7613	7615	-6.823325	5.427433	19.408272	22.952227
9.327982	4.853467	3.086403	0.048942	4993009	4995905	7613	7615	-6.823325	5.427433	19.408272	22.969492
9.381558	4.851254	3.032391	0.048455	4993009	4996985	7613	7615	-6.823325	5.427433	19.408272	23.045601
9.392155	4.849678	3.022186	0.045969	4993009	4996983	7613	7615	-6.823325	5.427433	19.408272	23.060343
